domain_name,label,Dimension 1,Dimension 2
lvnpsikathrinezad.com,0,-12.535321,2.508847
dkvwtjuttwpy.com,0,-17.481783,-9.901627
rmommstj.com,0,-6.512642,9.222186
pulsa46.info,0,-17.230782,26.624609
jseacraxg.bid,0,28.298365,13.56286
kmdeanerraticallyqozaw.com,0,-21.928104,2.3743777
seyrtxbnhpasg.biz,0,-30.252676,-44.197376
uekellaabettingk.com,0,-21.928167,2.3744287
wufxhfbqkxwxst.com,0,-33.904034,-49.524067
ajvshcomivctldmsudlp.ir,0,-4.8270087,-13.092372
11gf28qnx9mck1jb8rak5m0x7i.net,0,-4.340018,13.498988
oommorporxmojn.info,0,-4.340018,13.498988
1qzpdt8o20aoa1dbzk4kebe6ft.com,0,-17.63667,-0.6099223
tytjckxkxi.info,0,-18.358137,-1.138101
xbltmachuslazaroqok.com,0,-18.352846,-0.7863929
18sn3668jrehmkeaqhg1yd1odg.com,0,16.012638,18.62421
kkgklo.biz,0,-20.931553,24.155857
ggmxhvakmdqwhxkvaeene.xxx,0,15.689619,19.046429
isigrsensinaix.com,0,16.239159,18.790476
136925216rga1n1sgetp3icstqo.net,0,-17.872187,12.668668
avpkyo.com,0,16.243176,18.793297
wljnaprzmoysxsfngr.info,0,15.690632,19.050024
phkmyzylnxhpjf.biz,0,15.988322,18.622028
fgwsxqbntvnt.com,0,-14.638907,-16.562056
uwxporcajanunal.com,0,-19.182018,-4.10073
muellerfalk.homepage.t-online.de,0,-19.182018,-4.10073
meetzon.com,0,-14.372348,8.618526
rpafllaabettingk.com,0,-8.833108,-2.0028505
pmyxrrneckty.co.uk,0,-14.415596,-16.79186
dhffbfnqgo.tv,0,-10.826153,1.9524883
gnsescolgygalbr.sx,0,-21.446339,6.6685457
ockqsikathrinezad.com,0,-8.833112,-2.0028524
btcdsatformalisticirekb.com,0,-17.169083,5.110122
twlvjkxwsaricdrnejj.biz,0,-11.85219,16.305618
lsfcxenoupvtpqor.com,0,-7.6794686,-13.1132345
1yh4l8m1cymdm8t7et8o1arfx4g.net,0,15.727209,18.787796
inmslpfaplnoisp.org,0,-15.322812,-16.672966
gulfellefrictionlessv.com,0,-17.353037,-1.0506546
muuganerraticallyqozaw.com,0,-12.784442,26.337368
jmwjplmvieontfzn.biz,0,16.266407,19.503065
w2o8d5yjf6ow1vjei6gfzakrd.net,0,16.266535,19.503176
uyjkestnessbiophysicalohax.com,0,16.269848,19.501965
b2b.supernova.com.tr,0,16.269047,19.502245
xn--90aialc0adbpjlr6c.xn--p1ai,0,5.6529675,22.315634
gelvsikathrinezad.com,0,-10.826153,1.9524883
gxtzziuknrlzmfq.org,0,-20.931553,24.155857
ielfllaabettingk.com,0,16.23927,18.790075
juvqdcwsqmqblswxi.su,0,15.988322,18.622028
ftlifb.com,0,-17.642092,-0.6135551
benard.000webhostapp.com,0,-17.628199,-0.6187619
gurcmvshdjoahtrok.org,0,-4.340018,13.498988
fjbfidablyhoosieraw.com,0,-32.97909,-43.024017
yxacab.com,0,-30.155031,-0.8019916
19d4sfi1uulq1ocr9zw317ac3p9.org,0,-28.75278,19.84802
www.bringbackudo.in,0,-31.854536,-48.945786
